sinopsis	genero
eddie convence tres amigos jugarse ahorros partida cartas harry hacha mafioso barrio partida amañada eddie sólo pierde dinero sino contrae deuda medio millón libras debe pagar plazo semana mafioso pretende quedarse local padre resarcirse deuda cuatro amigos planean saldarla forma arriesgada	Comedia
stan corrupto agente dea cuya codicia lleva cometer asesinatos calles nueva york mortal juego gato ratón empieza cruza camino solitario hombre llamado león león asesino sueldo personaje indestructible indocumentado sólo bebe leche ocupa plantas medio encuentra huerfanita 12 años puede olvidar hombre asesinó familia	Crimen
cècile sonja richter joachim nikolaj lie kaas punto casarse ven truncado futuro sufre accidente queda tetrapléjico embargo terrible cècile enamora marido responsable accidente padre familia tres hijos	Drama
sobrellevar insomnio crónico sufre después regreso vietnam travis decide trabajar taxista nocturno individuo contacto gente observa violencia desolación hunde ciudad nueva york travis anota diario todas impresiones día decide pasar acción	Crimen
manni ladrón poca monta acepta participar gran golpe vender diamantes robados cien mil marcos debe entregar mediodía traficante pierde bolsa contiene dinero metro berlín último recurso llama novia lola veinte años cabellos rojos frágil decidida explica situación once cuarenta minutos si veinte minutos manni recuperado dinero hombre muerto desesperada joven precipita hacia capital veinte minutos encontrar cien mil marcos reunirse manni salvar hombre vida	Acción
marty mcfly estudiante secundaria 17 años enviado accidentalmente treinta años pasado delorean viaja tiempo inventado gran amigo excéntrico científico doc brown	Aventura
comando mercenarios contratados cia rescatar pilotos apresados guerrillas selva centroamericana misión resulta satisfactoria viaje regreso dan cuenta dándoles caza resulta ser cazador alienígena queda calaveras víctimas trofeos	Ciencia ficción
franky ladrón diamantes entregar enorme pieza jefe avi camino tentado boris apostar combate ilegal boxeo realidad trampa atracarle avi entera contrata tony encontrar franky diamante pronto descubre triste destino franky caza captura gema desaparecida lleva mundo juego locos corre riesgo descontrolarse engaño chantaje fraude mezclan forma sangrienta perros diamantes boxeadores gran variedad armas caótica merienda negros	Crimen
accidente coche julie pierde esposo patrice prestigioso compositor hija ambos anna recuperarse lesiones julie decide comenzar nueva vida independiente solitaria anónima alejada privilegios disfrutaba propósito cruza sandrine periodista especializada música persigue intentando probar julie componía piezas hicieron famoso marido pretenderá entrar vida olivier ayudante patrice enamorado julie años atrás convence terminar « concierto europa » ambiciosa obra inacabada músico	Drama
karol ama profundamente dominique problema impotencia sexual sufre provoca divorcio serie penurias sucederán vida karol verá obligado volver polonia natal intentar ganarse vida pueda	Comedia
valentina joven modelo comienza ser conocida atropellado coche rita perra esperaba cachorros después curarla intenta devolverla dueño asi conocerá hombre mayor juez jubilado rechaza animal valentina descubre obsesionado enfermiza afición espiar mundo	Drama
emigrante cubano frío sanguinario tony montana llega cuba instalarse miami propone hacerse nombre dentro crimen organizado florida junto amigo manny rivera inicia ascendente carrera delictiva	Acción
curso italiano une seis daneses problemas sentimentales comunicación andreas joven sacerdote enviado parroquia pequeño barrio copenhague reemplazar wredmann cura vive enfrentado feligreses pondrá cosas fáciles provisionalmente aloja hotel conoce jorgen tímido conserje aprovechar noches andreas apunta curso nocturno italiano allí conoce olympia ayudante pastelería amiga karen peluquera ambiente latino clases favorecido presencia italiana giulia empieza producir efectos enredos pasionales suceden	Comedia
dos monjes viven monasterio aislado bajo atenta mirada viejo joven ve pasar estaciones vida primavera niño monje ríe rana intenta librarse piedra espalda verano monje adolescente conoce amor otoño monje treinta años intenta hacer va naturaleza invierno monje próximo vejez alguien llega monaterio primavera viejo monje conversa naturaleza cerca juega niño monje	Drama
acaudalado frío hombre negocios conoce hollywood boulevard joven atractiva prostituta alquila semana acompañante cenas clientes ello chica verá sometida cambio look tras nadie podrá ver simple vista chica calle	Comedia
nota hombre fracasado paro día confundido persona mismo nombre dos matones irrumpen apartamento destrozan alfombra creyendo jeff lebowski millonario pasadena primer error nota visitar opulento tocayo esperanza reponga vieja alfombra.sin embargo reticente héroe compinche water ven atrapados thriller toques humorísticos estilo hermanos coen mezclan extorsión traición decepción chantaje sexo drogas	Comedia
chris wilton ambicioso joven profesor tenis escasos recursos económicos gracias amistad tom hewett consigue entrar alta sociedad londinense enamorar hermana chloe tom parte sale nola rice atractiva americana chris encapricha verla azar pasión ambición llevarán chris cometer acciones determinarán vida demás siempre	Drama
joven agente tesoro elliot ness llega chicago determinación detener capone va ser tarea fácil puesto capone policía bolsillo ness conoce jimmy malone guardia veterano probablemente honrado cuerpo ness pide ayuda cruzada capone	Crimen
charlie bucket freddie highmore niño bueno familia pobre gana concurso junto cuatro niños diferentes partes mundo disfrutar visita día gigantesca fábrica chocolate dirigida excéntrico willy wonka johnny depp equipo oompa-loompas fábrica parece mundo fantástico mágico lleno diferentes sabores dulces	Aventura
documental dura vida esquimales viven región hudson canadá filmaffinity	Documental
tierra media señor oscuro saurón creó grandes anillos poder forjados herreros elfos tres reyes elfos siete señores enanos nueve hombres mortales secretamente saurón forjó anillo maestro anillo único contiene poder esclavizar toda tierra media ayuda grupo amigos valientes aliados frodo emprende peligroso viaje misión destruir anillo único señor oscuro sauron creara anillo envía servidores perseguir grupo si sauron lograra recuperar anillo final tierra media	Aventura
compañía anillo disuelto portador anillo frodo fiel amigo sam dirigen hacia mordor destruir anillo único acabar poder sauron mientras tras dura batalla orcos cayó boromir hombre aragorn elfo legolas enano gimli intentan rescatar medianos merry pipin secuestrados ogros mordor parte saurón traidor sarumán continúan planes mordor espera guerra razas libres tierra media	Aventura
fuerzas saruman sido destruidas fortaleza sitiada llegado momento decida destino tierra media primera vez tiempo parece pequeña esperanza atención señor oscuro sauron centra ahora gondor último reducto hombres aragorn reclamar trono ocupar puesto rey fuerzas sauron preparan lanzar último definitivo ataque reino gondor batalla decidirá destino mientras frodo sam continuan camino hacia mordor espera sauron repare dos pequeños hobbits acercan cada día final camino monte destino	Aventura
adaptación dibujos animados extraordinaria novela tolkien centrada primera mitad trilogía the fellowhip of the ring primera parte the two towers tierra media verdes praderas comarca frodo bolsón sobrino bilbo bolsón embarca larga peligrosa aventura evitar anillo mágico perteneció tío caiga ahora poder malvado sauron dueño mordor	Aventura
drama ambientado polonia 1982 plena guerra fría general wojciech jaruzelski jefe supremo partido comunista gobierna país bajo ley marcial ejerciendo especial represión ilegal sindicato obrero solidaridad creado astilleros gdansk	Drama
harry potter regresa quinto año hogwarts aún sacudido tragedia ocurrida torneo tres magos debido ministro magia niega regreso lord voldemort harry convierte centro atención comunidad mágica mientras lucha problemas colegio incluyendo nueva profesora dolores umbridge intentará aprender misteriosa orden fénix	Aventura
rafe danny crecieron juntos zona rural estadounidense amistad prolongado largo años filas ejercito aire dos pilotos combate rafe encontró evelyn valiente enfermera amor vida pronto llamado servir fuerza aérea británica combatir nazis representante ejército estadounidense mientras danny evelyn enviados base aérea pearl harbor hawai vez allí ambos enamoran mientras rafe derribado combate sorpresa ambos rafe sobrevive regresa pearl harbor complica produce mortal bombardeo parte ejercito japonés	Acción
enfrentándose futuro incierto witek joven polaco estudiante medicina decide interrumpir temporalmente estudios coger tren ir varsovia	Drama
tras sufrir ataque monstruoso jabalí maldito joven ashitaka emprende camino busca cura detenga infección mientras humanos acabando bosques dioses convertidos temibles bestias hacen posible protegerlo encabezados mononoke princesa guerrera ashikata deberá escoger bando decidir si ayudar hombres deidades intentando detener maldición herida extiende cuerpo cuartel	Aventura
chihiro niña diez años mudándose padres nuevo hogar camino familia topa enorme edificio rojo cuyo centro abre largo túnel lado pasadizo dibuja ciudad fantasma restaurante abandonado ciudad padres chihiro encuentran gran variedad platos deliciosos deciden quedarse comer probar bocado transforman cerdos presa pánico chihiro huye empieza desmaterializarse enigmático haku explicará funcionamiento universo caído salvar padres niña enfrentarse terrible yubaba aspecto arpía diabólica	Animación
jules vincent dos asesinos sueldo pocas luces trabajan marsellus wallace vincent confiesa jules marsellus pedido cuide mia mujer jules recomienda prudencia peligroso sobrepasarse novia jefe llega hora trabajar ambos deben ponerse manos obra misión recuperar misterioso maletín	Suspense
tras pasar unas merecidas vacaciones francia agente secreto james bond recibe llamada jefe m realizar peligrosa misión relacionada diamantes bruto desaparecidos	Aventura
detallada crónica famosa gira grupo rock británico the rolling stones realizó unidos 1969 culminó desastroso trágico concierto celebrado 6 diciembre altamont speedway free festival evento trascendencia histórica pues marcó final generación paz amor convirtió golpe generación desengaño	Documental
drama bélico basado historia real regimiento escocés capturado japoneses ii guerra mundial 1939-1945 vio obligado construir tristemente famosa vía ferroviaria muerte	Drama
siempre interesante ofrecer hermanos coen firman divertida inclasificable comedia eficaces giros dramáticos narra historia tres reclusos tras escapar cárcel sureña deciden plena fuga ganarse dinero grabando canción éxito destacar simpático clooney demuestra talento comedia llevó globo oro mejor música banda sonora película alcanzó gran	Aventura
aclamado documental filmado d.a pennebaker cubre principalmente gira británica ofrecida bob dylan primavera 1965 trobador folk americano nombre real robert allen zimmerman contaba sólo 23 años gira dylan apenas 3 semanas documentada detallada cámara sigue allí va aeropuerto hotel mostrando conversaciones conciertos además contar aparición artistas joan baez donovan alan price documental tiempo agrandado importancia influencia filmaffinity	Documental
circo lleno seres deformes tullidos personas diversas amputaciones hans enanos hereda fortuna partir momento cleopatra bella contorsionista intentará seducirlo hacerse dinero lograr objetivo traza plan contando complicidad hércules forzudo circo	Drama
phil hombre tiempo cadena televisión enviado año punxstawnwey cubrir información festival día marmota viaje regreso phil equipo ven sorprendidos tormenta obliga regresar pequeña ciudad mañana siguiente levantarse phil escucha radiodespertador mismo programa mañana anterior	Romance
conde drácula abandona cárpatos traslada londres llevándose sirviente contable vez instalado enamora joven prometida empieza visitarla noches va bebiendo sangre convertirla así esposa malestar sufre joven alerta familia busca ayuda doctor van helsing	Terror
kresten vive copenhague integrado círculos yuppies ciudad brillante futuro noche bodas suena teléfono llamada lejana informa muerte padre kresten ve obligado explicar situación mundo creía incluida esposa ningún pariente cercano kresten regresa arruinada granja padre vive hermano mayor hombre aspecto desaliñado solitario facultades mentales mermadas impide valerse mismo avergonzado ver cómo irremediablemente va saliendo luz pasado pueblerino trata mantener alejada mujer inventando mentira tras	Drama
película pedro almodóvar explora abuso sexual iglesia católica española década 1960 película trata dos niños maltratados escuela católica luchas enfrentar tarde identidad sexual odio hacia sacerdotes	Drama
donnie chico americano dotado gran inteligencia imaginación tras escapar milagrosamente muerte casi segura comienza sufrir alucinaciones llevan actuar nunca imaginado descubrir mundo insólito alrededor pues visiones gran conejito manipula cometer serie crímenes	Fantasía
verano 1963 dos vaqueros ennis mar jack twist conocen mientras hacen cola ser contratados ranchero joe aguirre dos aspiran conseguir trabajo estable casarse formar familia aguirre envía cuidar ganado majestuosa montaña brokeback ambos surge sentimiento camaradería deriva hacia relación íntima concluir verano abandonar brokeback seguir caminos diferentes	Drama
mítica película antibélica plasma sentimientos sensaciones desilusiones grupo jóvenes estudiantes enviados frente primera guerra mundial 1914-1918 adaptación novela homónima escritor alemán erich maría remarque estreno provocó enfrentamientos nazis comunistas	Drama
dos ángeles sobrevuelan berlín ciudad dividida muro vergüenza sólo visibles niños hombres corazón puro testigos impotentes pueden cambiar curso acontecimientos sienten gran compasión seres humanos decidido conocer sentimientos mortales enamora joven trapecista	Drama
principios años 70 bess watson ingenua joven pueblo costero escocia enamora jan stellan skarsgård hombre mundano trabaja plataforma petrolífera pesar oposición rígida comunidad puritana pertenece bess jan casan tras boda vuelve trabajo cuenta días esperando vuelta bess creyente devota cree amor bendecido cielo día sucede terrible accidente primera película trilogía corazón dorado lars von trier	Drama
