sinopsis	genero
convenc tres amig jug part cart harry mafios barri part sol pierd diner sin medi millon libr deb pag seman mafios pretend qued local padr cuatr amig plan form	Comedia
agent cuy llev comet asesinat call nuev york mortal jueg gat empiez cruz camin solitari hombr llam asesin personaj sol beb ocup plant medi encuentr años pued hombr asesin famili	Crimen
punt cas ven futur sufr accident qued embarg terribl enamor mar respons accident padr famili tres hij	Drama
sufr despues regres decid trabaj nocturn individu contact gent observ violenci ciud nuev york tod dia decid pas accion	Crimen
ladron poc mont acept gran golp vend diamant rob cien mil marc deb entreg trafic pierd diner berlin ultim llam novi años decid situacion once cuarent minut si minut recuper diner hombr muert desesper jov haci capital minut encontr cien mil marc reun salv hombr vid	Acción
estudi años envi años pas viaj tiemp invent gran amig excentr cientif doc brown	Aventura
com contrat rescat mision result viaj regres cuent result ser cazador alienigen qued victim	Ciencia ficción
ladron diamant entreg enorm jef camin combat realid tramp atrac enter contrat tony encontr diamant pront descubr destin captur desaparec llev mund jueg corr mezcl form perr diamant gran armas negr	Crimen
accident coch juli pierd espos hij ambos recuper juli decid nuev vid independient solitari alej disfrut proposit cruz period music intent prob juli famos mar pretend vid ayud enamor juli años atras convenc termin conciert europ ambici obra music	Drama
profund problem sufr provoc divorci seri suced vid ver oblig volv natal intent gan vid pued	Comedia
jov comienz ser conoc coch perr esper despues cur intent dueñ asi conoc hombr mayor animal descubr obsesion espi mund	Drama
fri tony lleg cub instal propon hac nombr dentr crim organiz flor junt amig inici carrer	Acción
italian une seis problem comun jov sacerdot envi pequeñ barri cur viv enfrent cos facil hotel conoc tim aprovech noch nocturn italian alli conoc ayud amig clas italian empiez produc suced	Comedia
dos monj viv baj mir viej jov ve pas vid niñ monj intent libr veran monj adolescent conoc amor monj años intent hac va monj lleg viej monj jueg niñ monj	Drama
fri hombr negoci conoc jov atract prostitut seman acompañ client ello chic ver somet cambi tras nadi podr ver vist chic call	Comedia
hombr par dia person mism nombr dos maton apartament millonari prim error visit esper viej embarg hero ven atrap herman mezcl traicion drog	Comedia
chris ambici jov profesor graci amist tom consig alta socied enamor herman tom part sal ric atract american chris pasion llev chris comet accion vid demas siempr	Drama
jov agent lleg chicag deten va ser facil puest polic conoc jimmy veteran cuerp pid ayud cruz	Crimen
charli niñ buen famili pobr gan concurs junt cuatr niñ diferent part mund disfrut visit dia gigantesc fabric dirig excentr johnny equip fabric parec mund magic llen diferent	Aventura
documental dur vid viv filmaffinity	Documental
tierr medi señor oscur sauron cre grand anill pod tres rey siet señor nuev hombr mortal secret sauron anill anill unic pod tod tierr medi ayud grup amig valient ali emprend peligr viaj mision destru anill unic señor oscur sauron cre anill envi persegu grup si sauron logr recuper anill final tierr medi	Aventura
compañ anill anill amig sam dirig haci mordor destru anill unic acab pod sauron mientr tras dur batall hombr intent rescat secuestr mordor part sauron continu plan mordor esper guerr raz libr tierr medi	Aventura
fuerz sid destru lleg moment dec destin tierr medi primer vez tiemp parec pequeñ esper señor oscur sauron centr ahor ultim hombr ocup puest rey fuerz sauron prep lanz ultim ataqu batall decid destin mientr sam continu camin haci mordor esper sauron dos pequeñ acerc cad dia final camin mont destin	Aventura
adapt anim novel centr primer mit the the primer part the tierr medi verd embarc larg peligr aventur evit anill magic pertenec ahor pod malv sauron dueñ mordor	Aventura
plen guerr fri jef part comun gobiern pais baj ley ejerc especial cre	Drama
harry regres año aun ocurr tres deb regres harry conviert centr comun magic mientr luch problem colegi inclu nuev profesor intent aprend misteri orden	Aventura
danny junt zon estadounidens amist larg años ejercit dos combat encontr valient amor vid pront llam fuerz britan combat nazis ejercit estadounidens mientr danny envi bas vez alli ambos enamor mientr combat ambos sobreviv regres complic produc mortal part ejercit japones	Acción
enfrent futur jov estudi decid estudi tren ir	Drama
tras sufr ataqu jov emprend camin busc cur mientr human acab dios convert hac posibl proteg princes guerrer deb band decid si ayud hombr intent deten her cuerp	Aventura
niñ diez años padr nuev camin famili enorm edifici cuy centr larg lad ciud fantasm restaur abandon ciud padr encuentr gran decid qued com prob transform pres huy empiez univers salv padr niñ enfrent terribl aspect	Animación
jul vincent dos asesin poc trabaj wallac vincent jul cuid muj jul peligr novi jef lleg hor trabaj ambos deb pon man obra mision recuper misteri	Suspense
tras pas unas franci agent secret jam recib llam jef realiz peligr mision relacion diamant desaparec	Aventura
detall famos gir grup rock britan the realiz unid tragic conciert celebr pues marc final gener amor convirt golp gener	Documental
bas histori real captur japones guerr mundial 1939-1945 oblig famos muert	Drama
siempr ofrec herman firm comedi gir narr histori tres tras escap carcel decid plen gan diner cancion exit destac clooney talent comedi llev mejor music band pelicul gran	Aventura
documental principal gir britan ofrec bob american nombr real cont sol años gir apen seman detall cam sig alli va hotel conciert ademas cont artist alan documental tiemp import filmaffinity	Documental
llen ser person fortun part moment bell intent hac diner logr objet plan cont complic	Drama
hombr tiemp caden television envi año inform dia viaj regres equip ven sorprend oblig regres pequeñ ciud siguient mism anterior	Romance
abandon londr llev vez instal enamor jov empiez visit noch va beb sangr convert asi espos sufr jov famili busc ayud doctor van	Terror
viv ciud brillant futur noch bod suen llam inform muert padr ve oblig situacion mund cre inclu espos ningun regres padr viv herman mayor hombr aspect solitari mental impid mism ver com va sal pas trat manten alej muj invent tras	Drama
pelicul catol dec pelicul trat dos niñ maltrat escuel catol luch enfrent tard ident haci sacerdot	Drama
chic american dot gran inteligent imagin tras escap muert casi segur comienz sufr llev nunc imagin descubr mund pues gran comet seri	Fantasía
veran dos mar jack conoc mientr hac ser contrat joe dos aspir consegu trabaj cas form famili envi cuid gan ambos surg sentimient haci relacion intim veran abandon segu camin diferent	Drama
pelicul sentimient grup joven estudi envi primer guerr mundial adapt novel escritor aleman mar provoc enfrent nazis comun	Drama
