sinopsis	genero
eddi convenc tres amig jug ahorr part cart harry hach mafios barri part amañ eddi sol pierd diner sin contra deud medi millon libr deb pag plaz seman mafios pretend qued local padr resarc deud cuatr amig plan sald form arriesg	Comedia
stan corrupt agent dea cuy codici llev comet asesinat call nuev york mortal jueg gat raton empiez cruz camin solitari hombr llam leon leon asesin sueld personaj indestruct indocument sol beb lech ocup plant medi encuentr huerfanit 12 años pued olvid hombr asesin famili	Crimen
cècil sonj richt joachim nikolaj lie kaas punt cas ven trunc futur sufr accident qued tetraplej embarg terribl cècil enamor mar respons accident padr famili tres hij	Drama
sobrellev insomni cronic sufr despues regres vietnam travis decid trabaj taxist nocturn individu contact gent observ violenci desol hund ciud nuev york travis anot diari tod impresion dia decid pas accion	Crimen
manni ladron poc mont acept particip gran golp vend diamant rob cien mil marc deb entreg mediod trafic pierd bols contien diner metr berlin ultim recurs llam novi lol veint años cabell roj fragil decid explic situacion once cuarent minut si veint minut manni recuper diner hombr muert desesper jov precipit haci capital veint minut encontr cien mil marc reun manni salv hombr vid	Acción
marty mcfly estudi secundari 17 años envi accidental treint años pas delor viaj tiemp invent gran amig excentr cientif doc brown	Aventura
com mercenari contrat cia rescat pilot apres guerrill selv centroamerican mision result satisfactori viaj regres dan cuent dandol caz result ser cazador alienigen qued calaver victim trofe	Ciencia ficción
franky ladron diamant entreg enorm piez jef avi camin tent boris apost combat ilegal boxe realid tramp atrac avi enter contrat tony encontr franky diamant pront descubr trist destin franky caz captur gem desaparec llev mund jueg loc corr riesg descontrol engañ chantaj fraud mezcl form sangrient perr diamant boxeador gran varied armas caotic meriend negr	Crimen
accident coch juli pierd espos patric prestigi compositor hij ambos anna recuper lesion juli decid comenz nuev vid independient solitari anonim alej privilegi disfrut proposit cruz sandrin period especializ music persig intent prob juli compon piez hic famos mar pretend entrar vid olivi ayud patric enamor juli años atras convenc termin « conciert europ » ambici obra inacab music	Drama
karol ama profund dominiqu problem impotent sexual sufr provoc divorci seri penuri suced vid karol ver oblig volv poloni natal intent gan vid pued	Comedia
valentin jov model comienz ser conoc atropell coch rit perr esper cachorr despues cur intent devolv dueñ asi conoc hombr mayor juez jubil rechaz animal valentin descubr obsesion enfermiz aficion espi mund	Drama
emigr cuban fri sanguinari tony montan lleg cub instal miami propon hac nombr dentr crim organiz flor junt amig manny river inici ascendent carrer delict	Acción
curs italian une seis danes problem sentimental comun andre jov sacerdot envi parroqui pequeñ barri copenhag reemplaz wredmann cur viv enfrent feligres pondr cos facil provisional aloj hotel conoc jorg tim conserj aprovech noch andre apunt curs nocturn italian alli conoc olympi ayud pastel amig kar peluquer ambient latin clas favorec presenci italian giuli empiez produc efect enred pasional suced	Comedia
dos monj viv monasteri aisl baj atent mir viej jov ve pas estacion vid primaver niñ monj rie ran intent libr piedr espald veran monj adolescent conoc amor otoñ monj treint años intent hac va naturalez inviern monj proxim vejez algui lleg monateri primaver viej monj convers naturalez cerc jueg niñ monj	Drama
acaudal fri hombr negoci conoc hollywood boulevard jov atract prostitut alquil seman acompañ cen client ello chic ver somet cambi look tras nadi podr ver simpl vist chic call	Comedia
not hombr fracas par dia confund person mism nombr dos maton irrump apartament destroz alfombr creyend jeff lebowski millonari pasaden prim error not visit opulent tocay esper repong viej alfombra.sin embarg reticent hero compinch wat ven atrap thrill toqu humorist estil herman coen mezcl extorsion traicion decepcion chantaj sex drog	Comedia
chris wilton ambici jov profesor tenis escas recurs econom graci amist tom hewett consig entrar alta socied londinens enamor herman chlo tom part sal nol ric atract american chris encaprich verl azar pasion ambicion llev chris comet accion determin vid demas siempr	Drama
jov agent tesor elliot ness lleg chicag determin deten capon va ser tare facil puest capon polic bolsill ness conoc jimmy malon guardi veteran probabl honr cuerp ness pid ayud cruz capon	Crimen
charli bucket freddi highmor niñ buen famili pobr gan concurs junt cuatr niñ diferent part mund disfrut visit dia gigantesc fabric chocolat dirig excentr willy wonk johnny depp equip oompa-loomp fabric parec mund fantast magic llen diferent sabor dulc	Aventura
documental dur vid esquimal viv region hudson canad filmaffinity	Documental
tierr medi señor oscur sauron cre grand anill pod forj herrer elfos tres rey elfos siet señor enan nuev hombr mortal secret sauron forj anill maestr anill unic contien pod esclaviz tod tierr medi ayud grup amig valient ali frod emprend peligr viaj mision destru anill unic señor oscur sauron cre anill envi servidor persegu grup si sauron logr recuper anill final tierr medi	Aventura
compañ anill disuelt portador anill frod fiel amig sam dirig haci mordor destru anill unic acab pod sauron mientr tras dur batall orcos cay borom hombr aragorn elfo legol enan gimli intent rescat median merry pipin secuestr ogros mordor part sauron traidor saruman continu plan mordor esper guerr raz libr tierr medi	Aventura
fuerz sarum sid destru fortalez siti lleg moment dec destin tierr medi primer vez tiemp parec pequeñ esper atencion señor oscur sauron centr ahor gondor ultim reduct hombr aragorn reclam tron ocup puest rey fuerz sauron prep lanz ultim definit ataqu rein gondor batall decid destin mientr frod sam continu camin haci mordor esper sauron repar dos pequeñ hobbits acerc cad dia final camin mont destin	Aventura
adapt dibuj anim extraordinari novel tolki centr primer mit trilog the fellowhip of the ring primer part the two towers tierr medi verd prader comarc frod bolson sobrin bilb bolson embarc larg peligr aventur evit anill magic pertenec tio caig ahor pod malv sauron dueñ mordor	Aventura
